record_id,run_id,t,energy_bid,up_bid,down_bid,energy_price,up_price,down_price,P_DA_MW,R_up_MW,R_down_MW
competitive_hard_zero-sos1,r5-strategic-db21a41d-7d57-4f76-8ddb-95187c41628d,1,100.0,100.0,100.0,100.0,100.0,100.0,0.08,0.08,0.06200000000000004
competitive_hard_zero-branch,r5-strategic-09c293ea-1ec0-490a-b058-bf63f33fb228,1,100.0,100.0,100.0,100.0,100.0,100.0,0.08,0.08,0.06200000000000004
competitive_quarter-sos1,r5-strategic-1958dce7-9460-4c76-a23b-d6c4080947af,1,100.0,100.0,100.0,100.0,100.0,100.0,0.08,0.08,0.06200000000000004
competitive_quarter-branch,r5-strategic-24c3949a-814b-4742-92eb-c5b7fb9d30fc,1,100.0,100.0,100.0,100.0,100.0,100.0,0.08,0.08,0.06200000000000004
competitive_thermal_e030_r005-sos1,r5-strategic-34589db1-3375-4776-b049-46aeb980c9c0,1,100.0,100.0,100.0,100.0,100.0,100.0,0.08,0.08,0.07477999999999893
competitive_thermal_e030_r005-branch,r5-strategic-b5b1ec21-fb7a-41e7-8010-f92ab4031bf8,1,100.0,100.0,100.0,100.0,100.0,100.0,0.08,0.08,0.07477999999999914
competitive_future_e030_r005-sos1,r5-strategic-4ae82280-25a1-4acd-a245-7b59575cdf2a,1,100.0,100.0,100.0,100.0,100.0,100.0,0.08,0.08,0.08
competitive_future_e030_r005-sos1,r5-strategic-4ae82280-25a1-4acd-a245-7b59575cdf2a,2,100.0,100.0,100.0,100.0,100.0,100.0,0.08,0.08,0.08
competitive_future_e030_r005-sos1,r5-strategic-4ae82280-25a1-4acd-a245-7b59575cdf2a,3,100.0,100.0,100.0,100.0,100.0,100.0,0.07251407846653847,0.07251407846653847,0.08
competitive_future_e030_r005-sos1,r5-strategic-4ae82280-25a1-4acd-a245-7b59575cdf2a,4,100.0,100.0,100.0,100.0,100.0,100.0,0.08,0.08,0.08
competitive_future_e030_r005-branch,r5-strategic-c70fe844-6f7b-43d1-a6d3-4e2dfe04c1bb,1,100.0,100.0,100.0,100.0,100.0,100.0,0.08,0.08,0.08
competitive_future_e030_r005-branch,r5-strategic-c70fe844-6f7b-43d1-a6d3-4e2dfe04c1bb,2,100.0,100.0,100.0,100.0,100.0,100.0,0.08000000000000007,0.08,0.08
competitive_future_e030_r005-branch,r5-strategic-c70fe844-6f7b-43d1-a6d3-4e2dfe04c1bb,3,100.0,100.0,100.0,100.0,100.0,100.0,0.0725140784665379,0.0725140784665379,0.08
competitive_future_e030_r005-branch,r5-strategic-c70fe844-6f7b-43d1-a6d3-4e2dfe04c1bb,4,100.0,100.0,100.0,100.0,100.0,100.0,0.08,0.08,0.08
merit_strategic-sos1,r5-strategic-cc4a0e90-3c71-4796-bf73-f06bb983aab4,1,20.0,0.0,0.0,20.0,100.0,0.0,0.1,0.0,0.0
merit_strategic-branch,r5-strategic-90c032c2-718a-40fc-a456-eb81190abfb1,1,20.0,0.0,0.0,20.0,0.0,0.0,0.1,0.0,0.0
merit_fixed_bid-sos1,r5-strategic-17f63035-b818-4eb6-9185-928c9cca9ebe,1,100.0,0.0,0.0,100.0,100.0,0.0,0.14200000000000004,0.0,0.0
merit_fixed_bid-branch,r5-strategic-03011a20-5d65-456e-9638-22e31f0ab431,1,100.0,0.0,0.0,100.0,0.0,0.0,0.14200000000000004,0.0,0.0
